"place","latitude","longitude","status","seating","flooring","camera_surveillance","signage","roof","continuous_pathway","wheelchair_entryway","access_blocked","tactile_pathway","cleanliness"
"Sarjapur Police Station (TO IBLUR)","12.8608847521621","77.78325394165","existing bus stop","Yes","No information","No","Inadequate signage","Yes","No","No",,"No","Can be improved, garbage lying around and near bus stop, general dust, tiles are broken"
"Sompura Gate (TO IBLUR)","12.8621580536302","77.7718955985368","existing bus stop","Yes","Well maintained","Yes","No information","Yes","No","No","Accessibility into bus stop blocked by vendors/cars etc","No","fairly clean, not littered. However, very dusty"
"Crystal Apartments (TO IBLUR)","12.8677947517579","77.7669563144035","existing bus stop","Yes","No","No","No information","Yes","No","Yes, but no designated ramp",,"No","Very poorly maintained due to disuse"
"Yamare Village (TO IBLUR)","12.8724995252241","77.7663024155139","no existing bus stop",,,,,,,,,,""
"Chembenahalli (TO IBLUR)","12.8794926615078","77.7615610462864","existing bus stop","Yes","Breakage, obstruction","No","No information","Yes","No","No",,"No","Very dusty and obstruction in terms of rocks/mud in and around the bus stop."
"T.C. Halli bus stop (TO IBLUR)","12.8817237096177","77.7569002417885","existing bus stop","Yes, but can be improved","Breakage, obstruction","No","Inadequate signage","Yes","No","No","Accessibility into bus stop blocked by vendors/cars etc","No","Bus stop itself is fairly maintained but is surrounded by debris and vendors and parked vehicles making it hard to access."
"Dommasandra (TO IBLUR)","12.8796880851133","77.7537429870165","no existing bus stop",,,,,,,,,,""
"Dommasandra Circle (TO IBLUR)","12.8837258694333","77.7522927757382","no existing bus stop",,,,,,,,,,""
"Muthanallur Cross (TO IBLUR)","12.8875457607502","77.7379668155307","existing bus stop","Yes but can be improved","No","No","No information","Yes","No","No","Accessibility into bus stop blocked by vendors/cars etc","No","The bus stop is practically non functional because of how dirty it is, people stand outside the bus stop. It is filled with debris and vendors have set up storage within the stop."
"Sulikunte (TO IBLUR)","12.8923176064902","77.728506542913","existing bus stop","Yes","Well-maintained","No","No information","Yes but can be improved","No information","No","Accessibility into bus stop blocked by vendors/cars etc","No","Bus stop is well maintained and clean but surroundings is not"
"Ambedkar Nagar (TO IBLUR)","12.8993331250136","77.7126327750527","existing bus stop","Yes","Well-maintained","No","Signboard","Yes","Yes","No",,"No","Very well maintained and clean."
"Carmelram gate (TO IBLUR)","12.9034751003314","77.7039266303969","existing bus stop","Yes","Well-maintained","No","No information","Yes","Yes","No",,"No","Slightly littered, and dusty."
"Doddakannali (TO IBLUR)","12.9072064670436","77.6953856915663","existing bus stop","Yes","Well-maintained","No","No information","Yes, but can be improved","Yes","No","Accessibility into bus stop blocked by vendors/cars etc","No","Dusty, but not littered"
"Junnasandra gate Wipro regional office (TO IBLUR)","12.9108360518034","77.6839888840508","existing bus stop","Yes","Wellmaintained","No","Signboard","Yes","Yes","No",,"No","Clean, not very dusty"
"Kaikondrahalli (TO IBLUR)","12.9142791928381","77.6773413772272","existing bus stop","Yes","Breakage, obstruction","No","No information","Yes","Yes, but can be improved","Broken",,"Yes but can be improved","Very dusty otherwise maintained"
"Bellandur gate (TO IBLUR)","12.9188752023854","77.6693375351398","existing bus stop","Yes","Breakage, obstruction","No","No information","Yes","Yes, but can be improved","No",,"No","Clean, no litter, not dusty"
"Sarjapura road Ibbaluru junction (TO IBLUR)","12.9206323985912","77.66499503106","no existing bus stop",,,,,,,,,,""
"Sarjapura Circle BNG (TO IBLUR)","12.9043099764847","77.7028699102322","existing bus stop","Yes","Wellmaintained","No","No information","Yes","Yes","No",,"No","Clean mostly, littered in the back"
"Sarjapur Police Station (TO SARJAPUR)","12.8611805049297","77.783074845587","no existing bus stop",,,,,,,,,,""
"Sompura Gate (TO SARJAPUR)","12.8621675327047","77.7721530945125","no existing bus stop",,,,,,,,,,""
"Crystal Apartments (TO SARJAPUR)",,,"existing bus stop","Yes","No information","No","No information","Broken","No information","No",,"No","Non-existent practically. In high disuse so the roof and tiling is all broken."
"Yamare Village (TO SARJAPUR)",,,"existing bus stop","Yes, but can be improved","No","No","No","Yes","No","No",,"No","In disuse, so very dusty and not well-maintained at all"
"Chembenahalli (TO SARJAPUR)",,,"no existing bus stop",,,,,,,,,,""
"T.C. Halli bus stop (TO SARJAPUR)",,,"no existing bus stop",,,,,,,,,,""
"Dommasandra (TO SARJAPUR)",,,"no existing bus stop",,,,,,,,,,""
"Dommasandra Circle (TO SARJAPUR)",,,"no existing bus stop",,,,,,,,,,""
"Muthanallur Cross (TO SARJAPUR)",,,"no existing bus stop",,,,,,,,,,""
"Sulikunte (TO SARJAPUR)",,,"existing bus stop","Yes","Well-maintained","No","Inadaquate signage","Yes but can be improved","No","No",,"No","Generally well maintained and clean"
"Ambedkar Nagar (TO SARJAPUR)",,,"existing bus stop","Broken","Well-maintained","No","No information","Yes","No","No",,"No","Very dusty and garbage is just lying around"
"Carmelram gate (TO SARJAPUR)",,,"unknown",,,,,,,,,,""
"Doddakannali (TO SARJAPUR)",,,"existing bus stop","Broken","No built floor","No","Digital","Yes but can be improved","Yes but can be improved","No","Accessibility into bus stop blocked by vendors/cars etc","No","No information"
"Junnasandra gate Wipro regional office (TO SARJAPUR)",,,"existing bus stop","Yes","No built floor","No","No information","Yes","Yes, but can be improved","No",,"No","Littered"
"Kaikondrahalli (TO SARJAPUR)",,,"no existing bus stop",,,,,,,,,,""
"Bellandur gate (TO SARJAPUR)",,,"no existing bus stop",,,,,,,,,,""
"Sarjapura road Ibbaluru junction (TO SARJAPUR)",,,"no existing bus stop",,,,,,,,,,""
"Sarjapura Circle BNG (TO SARJAPUR)",,,"existing bus stop","Yes","Well-maintained","No","Signboard","Yes","Yes","No",,"No i","Overall clean"
